Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,519.62100,302.55700,217.06400,111.21700,2.20000,109.01700,108.04700,7.93400,115.98100,31.23900,84.74200,84.74200,83.96300,108.04700,108.04700,310.97400,310.97400,0.27000,0.27000,2.29490,0.07070,0.11510,41.77350,20.79340,20.79340,22.32030,16.15850,0.27780,1.18750,2.86350,31.42980,7.17350,7.20910,4.53080,6.66670,-0.1908,-0.1571
2023-03-31,430.15700,260.99400,169.16300,86.52600,1.22300,85.30300,83.86000,3.65200,87.51200,18.94000,68.57200,68.57200,67.78200,,83.86000,308.10000,308.10000,0.22000,0.22000,,,,,,,,,,,,,,,,,,
2022-12-31,361.65900,217.09600,144.56300,,1.96400,,361.65900,,68.26400,16.10300,,52.16100,51.10100,361.65900,,319.38130,319.38130,0.16000,0.16000,2.35580,0.05050,0.08730,39.97220,100.00000,,18.87520,14.12960,0.20790,1.01530,2.25030,39.99490,4.60700,4.63930,2.99870,4.37450,0.1908,0.1571
2022-09-30,389.74400,250.77200,138.97200,77.17300,9.82600,67.34700,71.62500,3.52400,75.14900,18.33600,56.81300,56.81300,57.86600,71.62500,71.62500,304.55800,304.55800,0.19000,0.19000,2.30130,0.05130,0.08960,35.65730,18.37740,18.37740,19.28160,14.84720,0.23830,1.35520,2.50790,35.88650,5.38620,5.42790,3.47300,5.10980,0,0
2022-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,-0.5429,-0.3809
2022-03-31,369.28900,257.83900,111.45000,88.45200,-0.75900,89.21100,22.23900,0.72600,22.96500,8.34800,14.61700,14.61700,15.22900,22.23900,22.23900,304.58000,304.58000,0.05000,0.05000,2.11170,0.05460,0.09690,30.17960,6.02210,6.02210,6.21870,4.12390,0.21480,1.40540,2.20730,40.77300,1.36480,1.37840,0.85020,1.29030,0.54290,0.38090
2021-12-31,435.11200,299.70400,135.40800,,-0.19300,,435.11200,,40.81400,11.92500,,28.88900,28.99100,435.11200,,362.38750,362.38750,0.08000,0.08000,2.04900,0.05840,0.10270,31.12030,100.00000,,9.38010,6.66290,0.25100,1.40330,2.49020,36.14240,2.73480,2.76470,1.66650,2.57500,0.3169,0.2179
2021-09-30,411.91200,298.86000,113.05200,85.68200,5.76700,79.91500,33.13700,-0.56600,32.57100,8.58900,23.98200,23.98200,23.59600,33.13700,33.13700,294.95000,294.95000,0.08000,0.08000,2.42750,0.06540,0.11080,27.44570,8.04470,8.04470,7.90730,5.72840,0.24900,1.23510,2.61450,34.42340,2.36350,2.39130,1.44960,2.20900,0,0
2021-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2021-03-31,340.28000,244.66200,95.61800,71.12500,0.09000,71.03500,24.58300,0.21600,24.79900,7.25000,17.54900,17.54900,18.60100,24.58300,24.58300,310.01700,310.01700,0.06000,0.06000,2.68580,0.05070,0.09360,28.09980,7.22430,7.22430,7.28780,5.46640,0.21590,1.20970,2.79340,32.21890,1.77260,1.79630,1.11360,1.68270,0.00000,
2020-12-31,352.14100,253.63300,98.50800,,-8.99500,,352.14100,,9.41100,6.22800,,3.18300,3.18200,352.14100,,318.20000,318.20000,0.01000,0.01000,2.59660,0.05530,0.09600,27.97400,100.00000,,2.67250,0.90360,0.22290,1.17100,2.99810,30.01880,0.32790,0.33160,0.20150,0.30980,0,0
2020-09-30,305.19300,228.25500,76.93800,79.36700,2.11400,77.25300,-0.31500,-239.07400,-239.38900,7.50800,-246.89700,-246.89700,-246.35000,-0.31500,-0.31500,236.87500,236.87500,-1.04000,-1.04000,1.53610,-0.22880,-0.30190,25.20960,-0.10320,-0.10320,-78.43860,-80.71940,0.35760,1.16970,2.93340,30.68060,89.12060,85.80680,-28.92990,109.50760,0,0
2020-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
