Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,,,13.25700,5.56500,-18.82200,3.03300,-15.78900,-15.78900,-15.78900,-15.78900,-20.39400,-18.82200,55.98900,55.98900,-0.28000,-0.28000,23.77260,,,,,,,-5.54080,-5.54080,-5.26530,-5.54080,5.08870,-0.2591,-0.2601
2023-06-30,,,17.06400,5.53200,-22.59600,2.65900,-19.93700,-19.93700,-19.93700,-19.93700,-23.86000,-22.59600,55.94900,55.94900,-0.36000,-0.36000,25.22420,,,,,,,-6.71740,-6.71740,-6.39770,-6.71740,5.30190,-0.2465,-0.2481
2023-03-31,,,15.73000,5.92100,-21.65100,2.35700,-19.29400,-19.29400,-19.29400,-19.29400,-22.66400,-21.65100,55.90800,55.90800,-0.35000,-0.35000,35.25360,,,,,,,-6.16780,-6.16780,-5.94130,-6.16780,5.59400,-0.31170,-0.31320
2022-12-31,,,14.25500,5.13700,-19.39200,2.05200,-17.34000,-17.34000,-17.34000,-17.34000,-20.16700,-19.39200,55.70800,55.70800,-0.31000,-0.31000,31.09860,,,,,,,-5.29770,-5.29770,-5.08300,-5.29770,5.85570,-0.2718,-0.277
2022-09-30,,,14.30400,4.88800,-19.19200,1.48800,-17.70400,-17.70400,-17.70400,-17.70400,-19.54200,-19.19200,55.78200,55.78200,-0.32000,-0.32000,33.46980,,,,,,,-5.19270,-5.19270,-4.99310,-5.19270,6.10550,-0.2483,-0.2539
2022-06-30,,,11.29500,4.34400,-15.63900,0.64000,-14.99900,-14.99900,-14.99900,-14.99900,-15.60500,-15.63900,55.67100,55.67100,-0.27000,-0.27000,48.96080,,,,,,,-4.19950,-4.19950,-4.07660,-4.19950,6.41030,-0.188,-0.1917
2022-03-31,,,8.75900,4.61100,-13.37000,0.10500,-13.26500,-13.26500,-13.26500,-13.26500,-13.26900,-13.37000,55.50700,55.50700,-0.24000,-0.24000,68.22460,,,,,,,-3.58210,-3.58210,-3.50180,-3.58210,6.65810,-0.21310,-0.21440
2021-12-31,,,7.33700,3.79000,-11.12700,0.06200,-11.06500,-11.06500,-11.06500,-11.06500,-11.01900,-11.12700,45.93600,45.93600,-0.11000,-0.11000,72.95760,,,,,,,-2.89560,-2.89560,-2.83310,-2.89560,6.89240,-0.2742,-0.2862
2021-09-30,,,8.53900,2.79800,-11.33700,0.01900,-11.31800,-11.31800,-11.31800,-11.31800,-11.28100,-11.33700,55.15500,55.15500,-0.21000,-0.21000,71.80560,,,,,,,-2.89050,-2.89050,-2.82700,-2.89050,7.09050,-0.1477,-0.1653
2021-06-30,,,5.02700,2.66000,-7.68700,0.05100,-7.63600,-7.63600,-7.63600,-7.63600,-7.65300,-7.68700,55.08100,55.08100,-0.14000,-0.14000,118.90600,,,,,,,-1.90140,-1.90140,-1.88480,-1.90140,7.28660,-0.0079,-0.0099
2021-03-31,,,3.87500,1.80500,-5.68000,0.16600,-5.51400,-5.51400,-5.51400,-5.51400,-5.82600,-5.68000,17.63000,17.63000,-0.31000,-0.31000,111.10470,,,,,,,-1.35150,-1.35150,-1.33880,-1.35150,7.41250,-0.20970,-0.21160
2020-12-31,0.03300,0.03300,2.70800,1.18600,-3.86100,0.00600,-3.85500,-3.85500,-3.85500,-3.85500,-3.85900,-3.86100,15.79700,15.79700,-0.33000,-0.33000,15.55060,100.00000,-11700.00000,-11700.00000,-11681.82000,-11681.82000,0.00090,34.06980,34.06980,-10.55700,34.06980,-0.70900,-0.3222,-0.3246
2020-09-30,0.02000,0.02000,1.91400,0.48900,-2.38300,0.06300,-2.32000,-2.32000,-2.32000,-2.32000,-2.44000,-2.38300,25.70200,25.70200,-0.09000,-0.09000,,100.00000,-11915.00000,-11915.00000,-11600.00000,-11600.00000,,,,,,,-0.0717,-0.0741
2020-06-30,0.03100,0.03100,1.06100,0.43300,-1.46300,0.02100,-1.44200,-1.44200,-1.44200,-1.44200,-1.47600,-1.46300,25.59700,25.59700,-0.06000,-0.06000,,100.00000,-4719.35400,-4719.35400,-4651.61300,-4651.61300,,,,,,,0.0148,0.0148
2020-03-31,0.14200,0.14200,0.37700,0.38800,-0.62300,-0.04000,-0.66300,-0.66300,-0.66300,-0.66300,-0.62100,-0.62300,15.66700,15.66700,-0.04000,-0.04000,,100.00000,-438.73230,-438.73230,-466.90140,-466.90140,,,,,,,-0.16970,-0.16970
